model_instance,model,engine,display_name,speedup_vs_no_cache_mean_mean,speedup_vs_no_cache_mean_min,speedup_vs_no_cache_mean_max,speedup_vs_no_cache_p95_mean,speedup_vs_no_cache_p95_min,speedup_vs_no_cache_p95_max,energy_reduction_vs_no_cache_pct_mean,energy_reduction_vs_no_cache_pct_min,energy_reduction_vs_no_cache_pct_max,idle_adjusted_energy_reduction_vs_no_cache_pct_mean,idle_adjusted_energy_reduction_vs_no_cache_pct_min,idle_adjusted_energy_reduction_vs_no_cache_pct_max,hit_rate_mean,hit_rate_min,hit_rate_max,reuse_successes_mean,reuse_successes_min,reuse_successes_max,reused_prefix_tokens_total_mean,reused_prefix_tokens_total_min,reused_prefix_tokens_total_max,wasted_compute_ratio_mean,wasted_compute_ratio_min,wasted_compute_ratio_max
google_gemma-4-12B-it,google/gemma-4-12B-it,shadow_kv,MeritKV-Sem,0.997376138369951,0.97357219860304,1.0323596206712,1.00776639286063,0.967339743481842,1.03274798508002,0.204985796951206,-2.92774634957853,2.97037884620486,-0.992723335573587,-6.37970420500949,1.60442712161612,,,,,,,,,,,,
google_gemma-4-12B-it,google/gemma-4-12B-it,shadow_kv_plus,MeritKV,1.43233141380313,1.0513294611252,2.32723883299838,1.53454183738615,1.03897703186615,2.46664032679333,29.1854741190634,12.420310811362,60.648415288616,30.3742401243224,9.57714713633393,64.7511271933338,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-26B-A4B-it,google/gemma-4-26B-A4B-it,shadow_kv,MeritKV-Sem,1.0054397857142,0.962722029026784,1.02573264374197,0.993135109979303,0.96211471949908,1.02103985072674,-0.594071402777198,-4.39432784670294,1.49010030606983,0.772205640789431,-4.10661686499868,2.95492028082405,,,,,,,,,,,,
google_gemma-4-26B-A4B-it,google/gemma-4-26B-A4B-it,shadow_kv_plus,MeritKV,1.20284233142159,1.0444757730225,1.60839772280187,1.22777557385726,1.0307951162664,1.58183615235439,20.8150444705159,5.42486204461266,46.5881935750787,23.1696257547727,8.5281084251604,51.6750074353568,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-31B-it,google/gemma-4-31B-it,shadow_kv,MeritKV-Sem,1.00822298606774,0.980606881993471,1.03155695900131,0.997492593664718,0.980216110601202,1.02027078697618,-0.643404742591638,-3.7286335460852,1.55460799986196,-0.132139772706239,-2.79514008844902,3.85353989470579,,,,,,,,,,,,
google_gemma-4-31B-it,google/gemma-4-31B-it,shadow_kv_plus,MeritKV,1.57115573075553,1.1298037399548,2.64278457300174,1.6996267378663,1.12198383529083,2.90462625414824,30.5262755922695,13.2630171926093,64.712696805745,32.5064178166602,12.9550251309162,66.7997853485685,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
google_gemma-4-E2B-it,google/gemma-4-E2B-it,shadow_kv,MeritKV-Sem,0.999293324875961,0.973678087660637,1.02205228656651,0.992568358111886,0.965029469019405,1.02018453078977,-0.556297212905851,-4.5842524188242,4.64872551830014,-1.807861036541,-5.51917891753355,1.91853814322799,,,,,,,,,,,,
google_gemma-4-E2B-it,google/gemma-4-E2B-it,shadow_kv_plus,MeritKV,1.27527981757778,1.08501441877493,1.64416079795121,1.28770708076632,1.05345251924159,1.63982071061239,24.9516417831462,11.7076521231191,52.6013321971761,30.4858138414678,14.7406752319511,63.1836675476717,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
gpt2,gpt2,shadow_kv,MeritKV-Sem,1.02080005005576,0.902784820689645,1.11791607756052,1.00583225629757,0.938056251303289,1.10871744890507,-1.34212075195346,-3.7384453301552,2.35253864726631,-1.49000505957814,-15.1258238561132,10.7514148742011,,,,,,,,,,,,
gpt2,gpt2,shadow_kv_plus,MeritKV,0.771844865712472,0.703638552491934,0.86774445994753,0.830219721736791,0.75933969792569,0.931664968182392,0.299022644154291,-4.88288989678188,7.37837337154465,5.5370554814752,-12.7795354929933,28.625919193304,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
microsoft_Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,shadow_kv,MeritKV-Sem,1.00198878390419,0.978657483091061,1.06128144852019,1.00242706459148,0.976328318467965,1.03210120856046,-0.15194062569475,-2.67660691048726,2.14021872715453,-2.11249388333552,-6.30330430264161,2.24819848300061,,,,,,,,,,,,
microsoft_Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,shadow_kv_plus,MeritKV,0.913420548084314,0.855715203119288,0.962326917749856,0.916009971449051,0.852634540959188,0.984174769630121,0.792912732503164,-6.67582200627987,6.14779459041815,0.711044105348012,-12.6772089915845,10.5326681557244,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
Qwen_Qwen2_5-1_5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,shadow_kv,MeritKV-Sem,1.01593732046139,0.979682095596564,1.03906564032012,0.999020562491942,0.928942958075019,1.05208998692643,-1.12808852853345,-5.23847088000605,3.2533018019162,0.561130735257288,-7.40256066173287,14.1259015622014,,,,,,,,,,,,
Qwen_Qwen2_5-1_5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,shadow_kv_plus,MeritKV,0.85379566577777,0.803306235899599,0.882415676781109,0.86346529817998,0.80278244701511,0.957482140315598,0.308865820316766,-4.0479010240094,4.83574893409728,2.41963910338584,-0.721436657351947,7.85606704073818,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
Qwen_Qwen2_5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,shadow_kv,MeritKV-Sem,1.00610695365424,0.979803321369665,1.02777590721436,1.00652249996269,0.97317927757963,1.05004803835911,0.637982476830513,-3.53251955760386,3.14922261466083,0.676816795107215,-2.27005104130108,5.21065448982903,,,,,,,,,,,,
Qwen_Qwen2_5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,shadow_kv_plus,MeritKV,1.04650362762158,0.982428752517307,1.09240753126004,1.00571729132284,0.915102110066003,1.11099004621256,8.85382975331314,1.46531287632301,13.2802035276194,10.4441897356297,2.73071938211756,19.3681837528974,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
Qwen_Qwen2_5-32B-Instruct,Qwen/Qwen2.5-32B-Instruct,shadow_kv,MeritKV-Sem,1.00194544106336,0.972108650219039,1.01489804269195,1.0094352413725,0.994920522656096,1.03212454813401,-0.642850981075591,-2.84381557086469,2.68591195366547,0.528344489465586,-1.41700859511591,3.00504568987969,,,,,,,,,,,,
Qwen_Qwen2_5-32B-Instruct,Qwen/Qwen2.5-32B-Instruct,shadow_kv_plus,MeritKV,1.11187086165728,1.05358717845255,1.15889730499142,1.10374213958472,0.975659679551232,1.16297777641612,10.909002832882,7.1060290344786,13.9702892127875,12.5408716453061,7.58864671739771,15.0138579096714,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
Qwen_Qwen2_5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,shadow_kv,MeritKV-Sem,1.00005619691217,0.981309409763027,1.01622216261259,0.988155368361353,0.952019234990145,1.01777196579837,0.552124853321377,-3.05486641815627,3.15447808586895,0.451161864742909,-3.75202312501565,6.79902288398718,,,,,,,,,,,,
Qwen_Qwen2_5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,shadow_kv_plus,MeritKV,0.956576104452071,0.833535823869826,1.00037884871698,0.927418384319045,0.806797131166138,1.00209042476404,4.81690899222263,-1.39535428776815,9.57343525230748,7.15682847136851,-2.84436723527003,11.9555442459274,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
Qwen_Qwen2_5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,shadow_kv,MeritKV-Sem,1.00114185866596,0.979864031137734,1.03093377420556,1.00543001788947,0.9911949966314,1.03595103063287,-0.479589484491894,-5.01666875730313,4.39259795377339,1.15356151136097,-2.48625465373649,8.28078550383719,,,,,,,,,,,,
Qwen_Qwen2_5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,shadow_kv_plus,MeritKV,1.01873480209391,0.976546774121005,1.04004967424186,1.01805125420597,0.983705287594393,1.04549397613756,7.37734669864099,0.326077128490419,11.432154572722,10.4045798214881,2.89522953480615,27.7045866804438,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
TinyLlama_TinyLlama-1_1B-Chat-v1_0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,shadow_kv,MeritKV-Sem,0.997736358066674,0.972966582297091,1.03141802548211,0.987621769682498,0.962811194626017,1.0164759882019,-1.29945041937513,-3.90023134510132,1.2158354353093,-3.26527965146123,-9.49231374047263,1.37222545725719,,,,,,,,,,,,
TinyLlama_TinyLlama-1_1B-Chat-v1_0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,shadow_kv_plus,MeritKV,0.833961090980225,0.779588047307226,0.871247557019862,0.848205075938925,0.81189798779822,0.909374471771569,-5.86756601064473,-14.8125319313169,0.460186741202179,-7.78038197059207,-15.6388550769497,1.3686300662859,0.9921875,0.9921875,0.9921875,127,127,127,16256,16256,16256,,,
