model,engine,speedup_vs_no_cache_mean_mean,speedup_vs_no_cache_mean_min,speedup_vs_no_cache_mean_max,speedup_vs_no_cache_p95_mean,speedup_vs_no_cache_p95_min,speedup_vs_no_cache_p95_max,energy_reduction_vs_no_cache_pct_mean,energy_reduction_vs_no_cache_pct_min,energy_reduction_vs_no_cache_pct_max,idle_adjusted_energy_reduction_vs_no_cache_pct_mean,idle_adjusted_energy_reduction_vs_no_cache_pct_min,idle_adjusted_energy_reduction_vs_no_cache_pct_max,hit_rate_mean,hit_rate_min,hit_rate_max,reuse_successes_mean,reuse_successes_min,reuse_successes_max,reused_prefix_tokens_total_mean,reused_prefix_tokens_total_min,reused_prefix_tokens_total_max,wasted_compute_ratio_mean,wasted_compute_ratio_min,wasted_compute_ratio_max
Qwen/Qwen2.5-1.5B-Instruct,shadow_kv,1.006925066789178,0.9910154850273144,1.0153881737332062,1.0008778495227273,0.9419037529156538,1.0312609629506817,-1.1575884961114433,-5.0197998562572685,1.4949290968038795,0.2128380017075508,-7.604824444449409,15.265819091320337,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,shadow_kv_plus,0.8548530435716805,0.814172188763718,0.8824135608069154,0.8660872752941232,0.8233907818570235,0.9376467965065048,-0.2183622531994683,-4.372331247132582,2.981718664008441,2.7736481091250784,-1.5206100921920882,9.201836245614524,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,shadow_kv,1.0011736832126252,0.9965256828126632,1.0059340010300857,1.0000311776478263,0.9763127211961378,1.0302991623468607,0.36620887778976724,-4.424482763501948,4.611941070530103,0.6686742127001043,-4.638559619552086,5.747490528798809,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,shadow_kv_plus,0.9588618640167859,0.8380465857655135,0.9984790653148724,0.9379820940147855,0.8233726448571677,1.0046846735935917,4.932766493167383,-2.230239250317997,10.060320128979448,7.083127783610168,-1.7732920599522266,14.013641259005942,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,shadow_kv,1.0009954311239244,0.9887155708847132,1.017992149610368,1.0012059174814847,0.972799706637708,1.0256430785809163,-1.8706851183365836,-3.492623349516081,-0.2308537531537463,-3.0241212293294293,-5.688471403277265,1.2251744564269222,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,shadow_kv_plus,0.8359493917930256,0.7924419606974601,0.8759836335385842,0.8516892843031083,0.8180382563332854,0.8800143698034866,-6.189810240156415,-13.92635186737986,-1.1236206472178694,-7.519682843817561,-18.78392485957633,1.0444199165781634,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
google/gemma-4-12B-it,shadow_kv,0.9993962618030325,0.9978068513047436,1.00250914538121,0.9976358701407303,0.9947056106104364,1.0024215117869344,-0.5481908578599014,-3.661709566768032,0.9244859330963828,-0.49130363064757904,-4.793875790735658,1.6932916819786603,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
google/gemma-4-12B-it,shadow_kv_plus,1.430194224483935,1.0690743365677182,2.332520458347732,1.5317323085446695,1.064751844459038,2.455435900835893,28.35258963293227,10.493859050867677,61.24369452633769,30.864779779194883,12.56390457106143,65.52572869208531,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
google/gemma-4-E2B-it,shadow_kv,0.9997633862852979,0.9949747278261064,1.0030996242458723,0.9975888631413212,0.9848878151586198,1.0099323200056989,-0.8831653026745693,-3.479141579727206,1.76861502616738,-1.1579585563516652,-5.726189068104258,2.3557536349868755,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
google/gemma-4-E2B-it,shadow_kv_plus,1.27723395953863,1.0910552728670482,1.683947021395171,1.2886570706547285,1.0656512002283582,1.6192230712875704,24.729317776572305,11.7864085116489,52.129554909899625,30.598432205224537,14.029761411978576,62.6919285368537,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
gpt2,shadow_kv,1.0022975642370617,0.8967758219443382,1.0930990417438142,1.0024780999745162,0.9179442634618168,1.1068588626926172,-1.2790091630679288,-3.143486345735755,0.3868595945651689,-1.2669779323139712,-12.725322408943342,11.108098964338335,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
gpt2,shadow_kv_plus,0.7619310269789203,0.7043037253147977,0.8549034459667048,0.8178590535563472,0.7672050603047131,0.942005923714058,0.09179275140414464,-6.827305063509113,7.603175211002335,6.293487063730062,-12.456110180359335,29.285220074335538,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
microsoft/Phi-3-mini-4k-instruct,shadow_kv,1.0044954222861713,0.99653266575251,1.042693510457525,1.00354696377468,0.9933352711509372,1.0387363181020128,-0.5858302622597876,-3.1294364128745,1.406738038860795,-1.1533887543799206,-5.405745033240112,2.115535857230135,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
microsoft/Phi-3-mini-4k-instruct,shadow_kv_plus,0.9129450677944428,0.8632814896041112,0.9497978262945448,0.9189274389863422,0.8358439308628294,0.9988604385701556,0.2251808130574525,-7.393411196762376,6.319350816609056,1.709569503718766,-9.434778999194611,10.76172115147684,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
