dataset,prompt_mode,baseline,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,cached_tokens_total,cached_tokens_mean,prompt_tokens_total,completion_tokens_total,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,energy_source,json_path
ag_news,rag,lmcache,256,92.22145823514438,91.78536618128419,94.389418954961,95.89373643975705,10.843463323364727,33201,129.69140625,48667,256,12404.53,10037.37376845469,48.4551953125,39.208491283026135,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/ag_news/rag/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json
ag_news,rag,sglang_radix_attention,256,91.70223516048281,91.1925588734448,94.18093389831483,97.83140926156187,10.904859606202155,33201,129.69140625,48667,256,12394.497,10073.550917463019,48.41600390625,39.34980827133992,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json
ag_news,templated,lmcache,256,92.02076234032575,91.43633698113263,94.89087422844023,96.92454186733812,10.86711275333323,30396,118.734375,45851,256,12400.605,10096.805609165029,48.43986328125,39.44064691080089,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/ag_news/templated/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json
ag_news,templated,sglang_radix_attention,256,91.39173813127854,90.88540263473988,94.15350283961743,95.44495563022792,10.941908102935544,30396,118.734375,45851,256,12383.68,9981.056177647764,48.37375,38.98850069393658,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json
daily_dialog,rag,lmcache,256,93.44347656951868,91.71269601210952,104.0039254585281,106.65392489172518,10.701656624002371,40100,156.640625,58030,256,12779.477,10373.795309754187,49.91983203125,40.52263792872729,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/daily_dialog/rag/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json
daily_dialog,rag,sglang_radix_attention,256,92.82709580475057,91.58553695306182,100.82054464146495,103.56713747605681,10.772716644107522,39999,156.24609375,58030,256,12727.822,10391.419929480744,49.7180546875,40.591484099534156,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json
daily_dialog,templated,lmcache,256,93.46231813651684,92.014319030568,103.93998282961547,106.58146855421364,10.699499219988725,36290,141.7578125,54190,256,12727.295,10386.260707402422,49.71599609375,40.57133088829071,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/daily_dialog/templated/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json
daily_dialog,templated,sglang_radix_attention,256,92.75183402314724,92.0599545352161,100.74875527061522,103.59258770477027,10.781457968264423,36174,141.3046875,54190,256,12631.399,10275.030602434308,49.34140234375,40.136838290759016,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/daily_dialog/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json
dolly,rag,lmcache,256,94.17024220601888,90.77193052507937,107.70828498061746,121.17091219406575,10.619065817121633,36818,143.8203125,54855,256,12796.53,10362.213383996763,49.9864453125,40.477396031237355,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/dolly/rag/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_rag.json
dolly,rag,sglang_radix_attention,256,93.54641689969867,90.50028841011226,104.4128144858405,120.401686639525,10.689880309068483,36473,142.47265625,54855,256,12764.496,10384.48275884262,49.8613125,40.56438577672898,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/dolly/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_rag.json
dolly,templated,lmcache,256,93.8588524259103,90.55198915302753,106.52660368941724,121.1908681783825,10.654296042979789,32282,126.1015625,50247,256,12848.664,10335.622849488267,50.19009375,40.37352675581354,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/dolly/templated/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_templated.json
dolly,templated,sglang_radix_attention,256,93.25006744802522,90.08643589913845,104.5383233577013,119.4766143336892,10.723852833215053,31883,124.54296875,50247,256,12803.92,10379.392922685825,50.0153125,40.544503604241505,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/dolly/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_templated.json
samsum,rag,lmcache,256,98.90822662418941,95.28936562128365,122.6826700149104,125.50435622688383,10.110382463933853,40850,159.5703125,72594,256,14173.461,11625.407815356197,55.36508203125,45.411749278735144,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/samsum/rag/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json
samsum,rag,sglang_radix_attention,256,98.5662694201892,94.61074694991112,121.32607924286276,123.0533660389483,10.145458541572552,39685,155.01953125,72594,256,14235.033,11651.135791669523,55.60559765625,45.512249186209075,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/samsum/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json
samsum,templated,lmcache,256,98.80022138531785,94.70165008679032,123.07037494610995,125.1427173614502,10.121434810353618,37044,144.703125,68754,256,14126.562,11515.497739891849,55.1818828125,44.982413046452535,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/samsum/templated/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json
samsum,templated,sglang_radix_attention,256,98.48326990504574,94.74321804009378,120.82853959873319,122.26579345297068,10.154008908966633,35860,140.078125,68754,256,14224.586,11720.336730401174,55.5647890625,45.782565353129584,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/samsum/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json
xsum,rag,lmcache,256,119.16677340377646,124.56568097695708,145.99070267286152,149.71786285750568,8.391600875284833,38566,150.6484375,110983,256,18066.29,15001.5530446302,70.5714453125,58.59981658058672,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/xsum/rag/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_rag.json
xsum,rag,sglang_radix_attention,256,119.35329070001899,124.20732039026916,143.9964254386723,147.10456817410886,8.37848704576891,35921,140.31640625,110983,256,18297.768,15155.104694335882,71.47565625,59.19962771224954,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/xsum/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_rag.json
xsum,templated,lmcache,256,118.42673820501659,124.45572763681412,145.0777594000101,149.33385411277413,8.444039033388151,34439,134.52734375,107143,256,18116.6,14929.419926349365,70.76796875,58.318046587302206,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/xsum/templated/lmcache/benchmark_lmcache_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_templated.json
xsum,templated,sglang_radix_attention,256,119.06833481771173,124.06113743782043,143.69734085630625,147.105534770526,8.398538549572857,32096,125.375,107143,256,18232.432,15143.150614067006,71.2204375,59.15293208619924,nvml,/home/jade_hand/research/shadowkv/results_sglang_lmcache_qwen32b_full_2026-06-08/xsum/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_templated.json
