phase,dataset,mode,baseline,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
full,ag_news,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,52.5574826169759,51.566622918471694,54.1416157502681,62.43415437638757,19.026786486097855,41243,41499,0,41243.0,25344.0,25344.0,25344.0,7011.261,5692.129472365195,27.38773828125,22.234880751426545,0.16999881191959848,nvml,,False,balanced,0,0,0,0
full,ag_news,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,52.27168302371865,51.781561924144626,54.22599648591131,58.30823723226779,19.13081695774446,41243,41499,0,41243.0,25344.0,25344.0,25344.0,6983.126,5641.035659564451,27.2778359375,22.035295545173636,0.1693166355502752,nvml,,True,low_latency,255,1,1,1
full,ag_news,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json,256,61.70035854484013,61.277779284864664,63.615639111958444,73.46522794105093,16.207361246908473,41243,41499,0,0.0,0.0,0.0,0.0,9444.189,7952.595115032557,36.89136328125,31.064824668095927,0.2289888950852266,nvml,,False,balanced,0,0,0,0
full,ag_news,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,52.830480997727136,52.00776783749461,54.69307512976229,62.36693875398483,18.92846669412345,38427,38683,0,38427.0,22000.0,22000.0,22000.0,7027.306,5706.556313238776,27.4504140625,22.29123559858897,0.18287417701095582,nvml,,False,balanced,0,0,0,0
full,ag_news,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,52.27566129542538,52.04731784760952,54.46755746379495,58.69006093125785,19.129361068216838,38427,38683,0,38427.0,22000.0,22000.0,22000.0,7013.614,5635.443921239782,27.3969296875,22.0134528173429,0.18251786504280842,nvml,,True,low_latency,255,1,1,1
full,ag_news,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/ag_news/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json,256,60.64299878926249,60.6447015888989,62.132644932717085,65.70746577344832,16.489949705077265,38427,38683,0,0.0,0.0,0.0,0.0,9249.444,7738.550601540892,36.130640625,30.22871328726911,0.24070169412132095,nvml,,False,balanced,0,0,0,0
full,daily_dialog,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,52.37463638331974,50.98157189786434,60.74369139969349,64.34578322805464,19.093211314751574,50606,50862,0,50606.0,33664.0,33664.0,33664.0,7057.486,5750.352525040533,27.5683046875,22.46231455093958,0.13945947120894756,nvml,,False,balanced,0,0,0,0
full,daily_dialog,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,52.51388840042637,50.96438992768526,60.967686818912625,64.13450192194432,19.04258150481732,50606,50862,0,50606.0,33664.0,33664.0,33664.0,7056.973,5713.949579392986,27.56630078125,22.320115544503853,0.13944933407105878,nvml,,True,low_latency,255,1,1,1
full,daily_dialog,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json,256,65.38521712172951,63.04523651488125,84.03250342234969,85.16898243688046,15.293976896004974,50606,50862,0,0.0,0.0,0.0,0.0,10024.165,8318.589115699533,39.15689453125,32.4944887332013,0.19808253961980796,nvml,,False,balanced,0,0,0,0
full,daily_dialog,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json,256,52.95889851367974,51.01849744096398,61.26535846851766,64.53352670650929,18.882567954877146,46766,47022,0,46766.0,29584.0,29584.0,29584.0,7082.975,5746.7288922609105,27.66787109375,22.44815973539418,0.15145565154171836,nvml,,False,balanced,0,0,0,0
full,daily_dialog,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json,256,52.59931406544638,51.239444175735116,60.76273135840893,63.8464068993926,19.011654767127876,46766,47022,0,46766.0,29584.0,29584.0,29584.0,7126.072,5726.9883166634,27.83621875,22.371048111966406,0.15237719710901082,nvml,,True,low_latency,255,1,1,1
full,daily_dialog,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/daily_dialog/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json,256,63.38810125635064,61.66702718473971,82.9917099326849,85.01148533541709,15.775831428612376,46766,47022,0,0.0,0.0,0.0,0.0,9750.711,8121.724436017403,38.08871484375,31.72548607819298,0.2085,nvml,,False,balanced,0,0,0,0
full,dolly,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_rag.json,256,54.260459346551215,50.44835642911494,65.47503778710961,82.58161209523676,18.42962650966868,47431,47687,0,47431.0,29712.0,29712.0,29712.0,7284.269,5926.615928866641,28.45417578125,23.150843472135318,0.15357612110223273,nvml,,False,balanced,0,0,0,0
full,dolly,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_rag.json,256,53.67793434015766,50.489321583881974,64.9610257241875,81.80400407873094,18.62962895820448,47431,47687,0,47431.0,29712.0,29712.0,29712.0,7312.443,5864.765032672713,28.56423046875,22.909238408877783,0.1541701208070671,nvml,,True,low_latency,255,1,1,1
full,dolly,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_rag.json,256,65.77049562292814,60.42136927135289,86.28934726584703,105.30035905539988,15.204385956480337,47431,47687,0,0.0,0.0,0.0,0.0,10047.321,8383.072612738564,39.24734765625,32.746377393510016,0.21183025869157301,nvml,,False,balanced,0,0,0,0
full,dolly,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_templated.json,256,53.534872606178396,49.87907432951033,64.53047902323306,82.91903946083039,18.679413087546813,42823,43079,0,42823.0,25520.0,25520.0,25520.0,7116.445,5756.937043967069,27.79861328125,22.488035327996364,0.16618277561123695,nvml,,False,balanced,0,0,0,0
full,dolly,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_templated.json,256,53.41663475337555,50.259220879524946,64.96274552773684,81.26982233952731,18.720760014497305,42823,43079,0,42823.0,25520.0,25520.0,25520.0,7174.761,5724.3232992993235,28.02641015625,22.360637887887982,0.1675445671718469,nvml,,True,low_latency,255,1,1,1
full,dolly,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/dolly/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_dolly_templated.json,256,61.734712708130246,55.038527585566044,84.48342396877706,86.93120626267046,16.19834216655071,42823,43079,0,0.0,0.0,0.0,0.0,9301.966,7760.159750643413,36.3358046875,30.31312402595083,0.2172189244097798,nvml,,False,balanced,0,0,0,0
full,samsum,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json,256,57.872556146321585,54.55755302682519,82.17153535224497,84.71709040459245,17.279347355448728,65170,65426,0,65170.0,34832.0,34832.0,34832.0,8355.953,6869.710058279961,32.64044140625,26.8348049151561,0.12821778425655975,nvml,,False,balanced,0,0,0,0
full,samsum,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json,256,57.827352722597425,54.44254260510206,81.50786079932004,83.74279625713824,17.292854556166223,65170,65426,0,65170.0,34832.0,34832.0,34832.0,8422.88,6926.225072320567,32.901875,27.055566688752215,0.1292447445143471,nvml,,True,aggressive_prefix,255,1,1,1
full,samsum,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json,256,74.7261987580714,66.16848497651517,106.98311345186085,109.25867634359747,13.382187460619184,65170,65426,0,0.0,0.0,0.0,0.0,11458.864,9590.091560485018,44.7611875,37.4612951581446,0.17583035138867575,nvml,,False,balanced,0,0,0,0
full,samsum,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json,256,58.67199372914911,54.50216820463538,82.5534196337685,85.41639000177382,17.043906921185556,61330,61586,0,61330.0,30752.0,30752.0,30752.0,8441.145,6855.61731145683,32.97322265625,26.779755122878242,0.1376348442850155,nvml,,False,balanced,0,0,0,0
full,samsum,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json,256,57.994453869469,54.53711957670748,81.88799861818552,84.4512069132179,17.24302813939329,61330,61586,0,61330.0,30752.0,30752.0,30752.0,8432.927,6944.974615300762,32.94112109375,27.1288070910186,0.13750084787216696,nvml,,True,low_latency,255,1,1,1
full,samsum,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/samsum/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json,256,72.97476209168963,65.43309311382473,106.29792837426066,108.0435165669769,13.703367730662052,61330,61586,0,0.0,0.0,0.0,0.0,11130.733,9334.957349847924,43.47942578125,36.46467714784345,0.18148920593510517,nvml,,False,balanced,0,0,0,0
full,xsum,rag,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_rag.json,256,79.45844132336788,86.09972847625613,106.46129492670298,109.03563620522618,12.585195271202869,103559,103815,0,103559.0,33424.0,33424.0,33424.0,12006.775,9961.224080679813,46.90146484375,38.91103156515552,0.11594139572610782,nvml,,False,balanced,0,0,0,0
full,xsum,rag,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_rag.json,256,78.36464525462361,85.59249946847558,105.01168109476566,107.7351049752906,12.760856592290882,103559,103815,0,103559.0,33424.0,33424.0,33424.0,12047.789,10031.019405812789,47.06167578125,39.18366955395621,0.11633744049285914,nvml,,True,low_latency,255,1,1,1
full,xsum,rag,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/rag/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_rag.json,256,101.6469521655381,109.61046000011265,113.56686044018716,135.17741945106536,9.837973285922441,103559,103815,0,0.0,0.0,0.0,0.0,15615.5,12878.787617861595,60.998046875,50.307764132271856,0.15078843944031906,nvml,,False,balanced,0,0,0,0
full,xsum,templated,vllm_apc,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_templated.json,256,79.7644390950154,86.08184149488807,107.45384672190994,118.39072823058792,12.536915088298935,99719,99975,0,99719.0,29376.0,29376.0,29376.0,11983.363,9975.006438709112,46.81001171875,38.96486890120747,0.12017131138499182,nvml,,False,balanced,0,0,0,0
full,xsum,templated,vllm_apc_shadowkv_plus,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_templated.json,256,78.58236120773654,85.45012213289738,105.78844789415598,107.9026474384591,12.725502067269883,99719,99975,0,99719.0,29376.0,29376.0,29376.0,12075.336,9932.724716789598,47.16928125,38.79970592495937,0.12109363310903638,nvml,,True,low_latency,255,1,1,1
full,xsum,templated,vllm_no_cache,/home/jade_hand/research/shadowkv/results_vllm_qwen32b_no_cache_apc_overlay_energy_2026-06-03/full/xsum/templated/vllm_no_cache/benchmark_vllm_no_cache_Qwen_Qwen2_5-32B-Instruct_public_dataset_xsum_templated.json,256,99.88449476441019,108.86108642444015,113.05849184282124,135.2645586011931,10.011563880446333,99719,99975,0,0.0,0.0,0.0,0.0,15295.252,12580.766105724071,59.747078125,49.14361760048465,0.15338352771287317,nvml,,False,balanced,0,0,0,0
